TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter
13270658, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, 216.0, 1193.0, 0.0, 0.0, 0.625, 0.019607844, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 0
13270658, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, -0.3375702, 9.287094, 3.6200256, 216.0, 1193.0, 0.0, 0.0, 0.625, 0.019607844, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 1
13270862, -0.806839, 9.373291, 2.221817, -0.806839, 9.373291, 2.221817, -0.806839, 9.373291, 2.221817, -0.806839, 9.373291, 2.221817, -0.806839, 9.373291, 2.221817, -0.806839, 9.373291, 2.221817, 572.59656, 758.0222, 1439.7284, -1767.5754, 1.2125, 0.039215688, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 2
13271096, -0.42855835, 9.167389, 3.3231506, -0.42855835, 9.167389, 3.3231506, -0.42855835, 9.167389, 3.3231506, -0.42855835, 9.167389, 3.3231506, -0.42855835, 9.167389, 3.3231506, -0.42855835, 9.167389, 3.3231506, 661.56946, 1087.6007, 1011.866, 3436.843, 0.925, 0.027450982, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 3

13271196, 0.34236145, 8.961487, 3.7062225, 0.34236145, 8.961487, 3.7062225, -0.08732605, -0.12675476, 0.0095825195, -0.08732605, -0.12675476, 0.0095825195, -0.08732605, -0.12675476, 0.0095825195, -0.08732605, -0.12675476, 0.0095825195, 716.0, 1277.0, 0.0, 0.0, 0.6375, 0.015686275, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 4
13271469, -0.09336853, 9.244003, 3.3614502, 25.657654, -64.0213, -96.33026, 25.657654, -64.0213, -96.33026, 0.55862427, 0.19555664, 0.22599792, 0.55862427, 0.19555664, 0.22599792, 0.55862427, 0.19555664, 0.22599792, 234.0, 1194.0, 0.0, 0.0, 0.55, 0.019607844, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 5
13271469, -0.09336853, 9.244003, 3.3614502, 25.657654, -64.0213, -96.33026, 25.657654, -64.0213, -96.33026, 0.55862427, 0.19555664, 0.22599792, 0.55862427, 0.19555664, 0.22599792, 0.55862427, 0.19555664, 0.22599792, 234.0, 1194.0, 0.0, 0.0, 0.55, 0.019607844, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 6
13271631, -1.2425842, 9.818619, 2.2505493, -1.2425842, 9.818619, 2.2505493, -1.2425842, 9.818619, 2.2505493, -1.2425842, 9.818619, 2.2505493, -1.2425842, 9.818619, 2.2505493, -1.2425842, 9.818619, 2.2505493, 577.513, 757.51904, 2215.1519, -2140.5818, 1.0, 0.03529412, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 7
13271865, -0.4093933, 9.148239, 3.289627, -0.4093933, 9.148239, 3.289627, -0.4093933, 9.148239, 3.289627, -0.4093933, 9.148239, 3.289627, -0.4093933, 9.148239, 3.289627, -0.4093933, 9.148239, 3.289627, 666.06036, 1059.926, 745.42053, 3815.1765, 0.96250004, 0.03137255, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 8

13271977, 0.11730957, 9.124298, 3.6296082, 24.787903, -62.45575, -95.16144, 24.787903, -62.45575, -95.16144, 24.787903, -62.45575, -95.16144, 24.787903, -62.45575, -95.16144, 24.787903, -62.45575, -95.16144, 716.0, 1289.2375, 0.0, 0.0, 0.3, 0.003921569, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 9
13272226, -0.509964, 9.473846, 2.901764, -0.509964, 9.473846, 2.901764, -0.509964, 9.473846, 2.901764, 0.56695557, 0.20433044, 0.22366333, 0.56695557, 0.20433044, 0.22366333, 0.56695557, 0.20433044, 0.22366333, 192.0, 1219.0, 0.0, 0.0, 0.6375, 0.015686275, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 10
13272226, -0.509964, 9.473846, 2.901764, -0.509964, 9.473846, 2.901764, -0.509964, 9.473846, 2.901764, 0.56695557, 0.20433044, 0.22366333, 0.56695557, 0.20433044, 0.22366333, 0.56695557, 0.20433044, 0.22366333, 192.0, 1219.0, 0.0, 0.0, 0.6375, 0.015686275, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 11
13272399, -1.1180878, 9.68454, 2.015915, -1.1180878, 9.68454, 2.015915, -1.1180878, 9.68454, 2.015915, -1.1180878, 9.68454, 2.015915, -1.1180878, 9.68454, 2.015915, -1.1180878, 9.68454, 2.015915, 555.98425, 749.42554, 2987.5112, -3125.3445, 1.075, 0.03529412, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 12
13272633, -0.533905, 9.38765, 2.8490906, -0.533905, 9.38765, 2.8490906, -0.533905, 9.38765, 2.8490906, 0.5680542, 0.19993591, 0.21614075, 0.5680542, 0.19993591, 0.21614075, 0.5680542, 0.19993591, 0.21614075, 687.49884, 1062.7446, 542.95685, 2368.6943, 1.075, 0.03137255, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 13

13272711, 0.01675415, 9.287094, 3.1890717, 26.527405, -63.49945, -95.16144, 26.527405, -63.49945, -95.16144, 26.527405, -63.49945, -95.16144, 26.527405, -63.49945, -95.16144, 26.527405, -63.49945, -95.16144, 705.0, 1189.3938, 0.0, 0.0, 0.475, 0.015686275, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 14
13272936, -0.37109375, 9.200912, 3.0262604, -0.37109375, 9.200912, 3.0262604, 0.26098633, 0.24713135, -0.03515625, 0.26098633, 0.24713135, -0.03515625, 0.26098633, 0.24713135, -0.03515625, 0.26098633, 0.24713135, -0.03515625, 208.0, 1257.0, 0.0, 0.0, 0.6125, 0.015686275, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 15
13272936, -0.37109375, 9.200912, 3.0262604, -0.37109375, 9.200912, 3.0262604, 0.26098633, 0.24713135, -0.03515625, 0.26098633, 0.24713135, -0.03515625, 0.26098633, 0.24713135, -0.03515625, 0.26098633, 0.24713135, -0.03515625, 208.0, 1257.0, 0.0, 0.0, 0.6125, 0.015686275, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 16
13273101, -0.3375702, 9.411606, 2.8778229, 27.572632, -65.24048, -93.15796, 27.572632, -65.24048, -93.15796, 27.572632, -65.24048, -93.15796, 0.29492188, -0.029464722, 0.30181885, 0.29492188, -0.029464722, 0.30181885, 628.5979, 779.1532, 3672.6416, -2675.0327, 1.0625, 0.03529412, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 17
13273318, -0.25616455, 9.306259, 3.0406342, -0.25616455, 9.306259, 3.0406342, -0.25616455, 9.306259, 3.0406342, -0.25616455, 9.306259, 3.0406342, -0.25616455, 9.306259, 3.0406342, -0.25616455, 9.306259, 3.0406342, 701.0, 1088.5552, -0.01696503, 3860.0742, 0.9875, 0.03137255, "[Point(0, 2), Point(1, 1), Point(1, 2)]", 18

